category_title,commentCount,dislikeCount,likeCount
Shows,95117.0,24508.0,1082639.0
Education,5442242.0,1351972.0,4.9257772E7
Gaming,1.4740713E7,9184466.0,6.9038284E7
Entertainment,7.3566498E7,4.2987663E7,5.30516491E8
Travel & Events,911511.0,340427.0,4836246.0
Science & Technology,1.1989926E7,4548402.0,8.2532638E7
Sports,1.1192155E7,5133551.0,9.8621211E7
Howto & Style,2.314955E7,5473899.0,1.62880075E8
Nonprofits & Activism,4808797.0,3310381.0,1.4815646E7
Film & Animation,1.788706E7,6075148.0,1.65997476E8
People & Blogs,2.4778032E7,1.0187901E7,1.86615999E8
News & Politics,6039433.0,4180049.0,1.8151033E7
Pets & Animals,2660705.0,527379.0,1.9370702E7
Autos & Vehicles,784447.0,243010.0,4245656.0
Music,1.25296396E8,5.1179008E7,1.416838584E9
Comedy,2.2545582E7,7230391.0,2.16346746E8
